path,folder,filename,num_pages,total_chars,likely_scanned,error,num_liens,domaines
Finance/Euro Private Placement (Euro PP) (1).pdf,Finance,Euro Private Placement (Euro PP) (1).pdf,15,41485,False,,20,acpr.banque-france.fr;www.acp.banque-france.fr;www.afb.fr;www.afecei.asso.fr;www.asf-france.com;www.euf.eu.com;www.eurofinas.org;www.fbf.fr;www.leaseurope.org;www.legifrance.gouv.fr;www.orias.fr
Finance/Le crédit-bail et les autres techniques de financement apparentées (1).pdf,Finance,Le crédit-bail et les autres techniques de financement apparentées (1).pdf,6,15318,False,,0,
Finance/Le financement des investissements par Bpifrance (1).pdf,Finance,Le financement des investissements par Bpifrance (1).pdf,5,12668,False,,10,www.legifrance.gouv.fr
Finance/Le financement obligataire (1).pdf,Finance,Le financement obligataire (1).pdf,2,4299,False,,1,www.vernimmen.net
Finance/Le financement par fonds propres (1).pdf,Finance,Le financement par fonds propres (1).pdf,5,12422,False,,12,publishing.dealogic.com;www.amafi.fr;www.euro-privateplacement.com;www.ey.com;www.globalcreditportal.com;www.icmagroup.org
Finance/Le financement participatif (1).pdf,Finance,Le financement participatif (1).pdf,3,3554,False,,6,legifrance.gouv.fr;www.legifrance.gouv.fr
Finance/Les acteurs du financement des entreprises (1).pdf,Finance,Les acteurs du financement des entreprises (1).pdf,6,15327,False,,5,www.bei.org;www.eib.org;www.eif.org
Finance/Les actions (1).pdf,Finance,Les actions (1).pdf,6,13359,False,,7,www.economie.gouv.fr;www.legifrance.gouv.fr;www.marche-public.fr
Finance/Les actions de préférence (1).pdf,Finance,Les actions de préférence (1).pdf,2,3582,False,,3,www.legifrance.gouv.fr
Finance/Les fonds d_investissement (1).pdf,Finance,Les fonds d_investissement (1).pdf,3,4757,False,,0,
Finance/Les investissements en fonds propres par Bpifrance (1).pdf,Finance,Les investissements en fonds propres par Bpifrance (1).pdf,4,8537,False,,6,atradius.fr;www.acheteurs-assurance-credit.fr;www.coface.fr;www.economie.gouv.fr;www.eulerhermes.fr
Finance/Les nouveaux acteurs les entreprises les assurances mutuelles et les particuliers (1).pdf,Finance,Les nouveaux acteurs les entreprises les assurances mutuelles et les particuliers (1).pdf,3,5789,False,,1,www.legifrance.gouv.fr
Finance/Les obligations convertibles en actions (1).pdf,Finance,Les obligations convertibles en actions (1).pdf,6,18035,False,,24,eur-lex.europa.eu;financeparticipative.org;tousnosprojets.bpifrance.fr;www.amf-france.org;www.assemblee-nationale.fr;www.economie.gouv.fr;www.finyear.com;www.legifrance.gouv.fr
Finance/les obligations ORA et OECA (1).pdf,Finance,les obligations ORA et OECA (1).pdf,5,11912,False,,2,www.legifrance.gouv.fr
Finance/Les obligations à bons de souscription en actions (OBSA) (1).pdf,Finance,Les obligations à bons de souscription en actions (OBSA) (1).pdf,3,4378,False,,0,
Finance/Les Partenariats Public Privé (PPP) (1).pdf,Finance,Les Partenariats Public Privé (PPP) (1).pdf,5,8527,False,,0,
Finance/Les prêts bancaires aux entreprises adossés au LDD et au livret A (1).pdf,Finance,Les prêts bancaires aux entreprises adossés au LDD et au livret A (1).pdf,3,5286,False,,3,www.legifrance.gouv.fr
Finance/Les prêts bancaires classiques (1).pdf,Finance,Les prêts bancaires classiques (1).pdf,3,6665,False,,10,eur-lex.europa.eu;www.amf-france.org;www.vernimmen.net
Finance/Les prêts de la Banque Européenne d_Investissement (BEI) (1).pdf,Finance,Les prêts de la Banque Européenne d_Investissement (BEI) (1).pdf,7,18683,False,,12,www.legifrance.gouv.fr
Finance/Les prêts participatifs (1).pdf,Finance,Les prêts participatifs (1).pdf,9,19989,False,,2,www.bpifrance.fr
Finance/Les sociétés d_assurance-crédit (1).pdf,Finance,Les sociétés d_assurance-crédit (1).pdf,4,7753,False,,8,www.legifrance.gouv.fr
Finance/Les titres de créances négociables (TCN) (1).pdf,Finance,Les titres de créances négociables (TCN) (1).pdf,3,6634,False,,9,www.banque-france.fr;www.franceinvest.eu;www.insee.fr
Finance/Les titres hybrides (1).pdf,Finance,Les titres hybrides (1).pdf,5,11767,False,,19,eucpmtn.banque-france.fr;publications.banque-france.fr;www.amf-france.org;www.banque-france.fr;www.legifrance.gouv.fr
Finance/Les titres participatifs (TP) (1).pdf,Finance,Les titres participatifs (TP) (1).pdf,3,5692,False,,0,
Finance/Les titres super subordonnés (TSS) (1).pdf,Finance,Les titres super subordonnés (TSS) (1).pdf,4,7333,False,,9,eur-lex.europa.eu;www.banque-france.fr;www.francetransactions.com;www.legifrance.gouv.fr
